Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1570292,Bp Food Mart,1685 Ralph David Abernathy Blvd SW,,Atlanta,GA,30310,1248,FULTON,Convenience Store,33.748486,-84.442474,,,-9400093.207004244,3995079.632834433
1576645,Midtown Market 225,225 10th St NE,,Atlanta,GA,30309,3706,FULTON,Convenience Store,33.781734,-84.379951,,,-9393133.178481376,3999531.753396267
1580874,Kinship Butcher Sundry,1019 Virginia Ave NE,,Atlanta,GA,30306,3523,FULTON,Specialty Store,33.782253,-84.353813,,,-9390223.509631021,3999601.264522145
1586167,Northside Food Mart,74 Northside Dr SW,,Atlanta,GA,30313,1402,FULTON,Convenience Store,33.752693,-84.402557,,,-9395649.666890247,3995642.8817020417
1587664,Oakland City Food Mart,976 Oakland Dr SW,,Atlanta,GA,30310,3325,FULTON,Convenience Store,33.728275,-84.426895,,,-9398358.960657174,3992374.0938302856
1612254,Donnelly Provisions,1308 Donnelly Ave SW,,Atlanta,GA,30310,2541,FULTON,Convenience Store,33.734879,-84.430046,,,-9398709.728372665,3993258.066056124
1612853,448 QM LLC,448 Boulevard SE,A SE,Atlanta,GA,30312,    ,FULTON,Convenience Store,33.742161,-84.367744,,,-9391774.301457262,3994232.870217105
1614020,Donnelly Food Mart,1294 Donnelly Ave SW,,Atlanta,GA,30310,2569,FULTON,Convenience Store,33.734531,-84.430031,,,-9398708.058580302,3993211.483144414
1614453,GX Market,308 Joseph E Lowery Blvd NW,,Atlanta,GA,30314,3202,FULTON,Convenience Store,33.763222,-84.41774,,,-9397339.830718962,3997052.6646871227
1615344,Bankhead Shell,902 Donald Lee Hollowell Pkwy NW,,Atlanta,GA,30318,6606,FULTON,Convenience Store,33.772697,-84.416847,,,-9397240.422413684,3998321.4701487576
1621623,Community Kitchen N Pantry,490 Ralph David Abernathy Blvd SW,Unit D,Atlanta,GA,30312,    ,FULTON,Convenience Store,33.73632,-84.404388,,,-9395853.49287789,3993450.9588021473
1622474,K Stop,138 Edgewood Ave NE,,Atlanta,GA,30303,3007,FULTON,Convenience Store,33.754658,-84.38369,,,-9393549.402057452,3995905.9727075337
1623399,Market at 14th Shell,608 14th St NW,,Atlanta,GA,30318,5406,FULTON,Convenience Store,33.785873,-84.407104,,,-9396155.836614884,4000086.11299294
